turnstile_usages;Green;Blue;Red;Black;South slope;North slope
КД Заповедный лес (B);1;1;1;1;0;1
КД Вероника (R);1;1;1;1;1;0
КД Кавказский экспресс (C);0;1;1;1;0;1
КД Дриада (O);0;1;1;1;0;1
КД Эдельвейс (Y);1;1;1;0;1;0
КД Волчья скала (D);0;1;1;1;0;1
КД Крокус (K);0;1;1;0;1;0
КД Олимпия (A);0;0;0;0;0;1
КД Тундра (P);0;1;1;0;0;1
КД Шале (E);1;1;1;0;0;1
КД Дафна (Q);0;1;1;0;0;1
КД Олимпия спуск (A);0;0;0;0;0;1
КД Сказка (H1);0;1;1;1;0;1
КД Кабан (H2);0;1;1;1;0;1
КД Стрела (L);1;0;0;1;0;1
КД Учебный склон (G1);1;0;0;0;0;1
КД Кавказский экспресс VIP (C);0;1;1;1;0;1
КД Эдельвейс VIP (Y);1;1;1;0;1;0
КД Ювента (F);1;0;0;0;0;1
КД Экстрим (H);1;1;1;0;0;1
КД Волчья скала VIP (D);0;1;1;1;0;1
КД Дриада VIP (O);0;1;1;1;0;1
КД Вероника VIP (R);1;1;1;1;1;0
КД Заповедный лес VIP (B);1;1;1;1;0;1
КД Тундра VIP (P);0;1;1;0;0;1
КД Тироль (SBT);0;0;0;0;0;1
Hand Held КД Заповедный лес;1;1;1;1;0;1
КД Олимпия спуск VIP (A);0;0;0;0;0;1
КД Квартет (T);1;1;1;1;0;1
КД Шале VIP (E);1;1;1;0;0;1
КД Дафна VIP (Q);0;1;1;0;0;1
КД Олимпия VIP (A);0;0;0;0;0;1
КД Тироль спуск (SBT);0;0;0;0;0;1
КД Стрела VIP (L);1;0;0;1;0;1
КД Сказка VIP (H1);0;1;1;1;0;1
Hand Held КД Олимпия;1;0;0;0;0;1
КД Детский склон (G3);1;0;0;0;0;1
Hand Held КД Стрела;0;1;1;1;0;1
КД Беседа (W);1;1;1;0;0;1
Hand Held КД Волчья скала;1;0;0;0;0;1
